Date,Price,Open,High,Low,Vol.,Change %
2025-10-07,210214.04439199998,213685.87996800002,214077.861404,208394.13058199998,12080.0,-1.56
2025-10-08,215645.787148,211026.00593800002,216261.757976,209402.082846,12510.0,2.58
2025-10-09,211249.99533,215869.77654,217241.71156599998,210942.00991599998,10120.0,-2.04
2025-10-10,208898.106714,210998.007264,214385.84681800002,207526.171688,12380.0,-1.11
2025-10-13,215701.78449599998,208982.102736,216765.734108,208982.102736,12110.0,3.26
2025-10-14,223793.40128199998,214665.833558,226929.25277,213573.88527199998,20990.0,3.75
2025-10-15,221133.52725199997,223821.39995599998,234348.90138,218473.653222,21020.0,-1.19
2025-10-16,220517.556424,217745.68769800002,226257.284594,216009.76991,13000.0,-0.28
2025-10-17,222561.459626,220041.578966,225053.341612,216289.75665,14470.0,0.93
2025-10-20,227377.231554,224717.357524,229617.125474,224717.357524,10300.0,2.16
2025-10-21,231577.032654,226341.280616,232388.9942,225221.333656,11820.0,1.85
2025-10-22,235664.839058,232948.96768,239108.67596,231689.02735,16420.0,1.77
2025-10-23,229673.12282199998,236812.784692,245240.38556599998,228469.17984,21410.0,-2.54
2025-10-24,225669.31244,230177.09895400002,231997.012764,223961.393326,13970.0,-1.74
2025-10-27,218445.65454800002,222309.47156,224353.374762,217493.69963199997,13780.0,-3.2
2025-10-28,217213.71289199998,218389.6572,221189.5246,213013.911792,16870.0,-0.56
2025-10-29,218781.638636,218865.63465800002,219761.59222599998,213993.865382,13190.0,0.72
2025-10-30,219509.60416,221021.532556,221021.532556,214385.84681800002,12550.0,0.33
2025-10-31,219537.602834,220377.563054,222085.48216800002,215589.7898,10840.0,0.01
2025-11-03,227713.215642,219929.58427,229253.14271199997,219929.58427,15570.0,3.72
2025-11-04,226929.25277,228497.178514,232920.969006,225781.307136,13460.0,-0.34
2025-11-05,231605.031328,225865.30315800002,234096.913314,225669.31244,19190.0,2.06
2025-11-06,222169.47819,232668.98094,233088.96104999998,221609.50471,18050.0,-4.07
2025-11-07,228357.18514400002,223457.417194,231073.056522,220433.56040199997,20880.0,2.79
2025-11-10,232249.00083,228637.171884,233256.953094,227629.21962,18280.0,1.7
2025-11-11,236700.78999599998,232249.00083,237400.756846,229981.108236,15230.0,1.92
2025-11-12,226033.29520199998,232948.96768,235496.847014,224325.37608800002,24210.0,-4.51
2025-11-13,224941.34691599998,225249.33233,226929.25277,223037.437084,9690.0,-0.48
2025-11-14,223877.397304,224101.386696,225641.31376599998,218389.6572,7810.0,-0.47
2025-11-17,210886.012568,211669.97544,214357.84814400002,206714.210142,20410.0,-5.8
2025-11-18,217101.718196,211138.000634,218613.64659199998,210522.029806,21320.0,2.95
2025-11-19,209906.05897800002,215309.80306,216289.75665,208982.102736,12070.0,-3.31
2025-11-20,210914.01124199998,210326.03908800002,213825.873338,209682.069586,9250.0,0.48
2025-11-21,206882.20218599998,201478.458104,210018.053674,196914.67424199998,25460.0,-1.91
2025-11-24,210858.013894,208310.13456,211977.960854,206238.23268400002,11380.0,1.92
2025-11-25,214637.834884,212733.92505199998,215029.81631999998,209234.090802,11310.0,1.79
2025-11-26,212621.930356,212817.921074,214469.84284,210298.04041400002,8820.0,-0.94
2025-11-28,213461.890576,212957.914444,215589.7898,211529.98207,8510.0,0.4
2025-12-01,212621.930356,210830.01522,213601.883946,207442.175666,11460.0,-0.39
2025-12-02,209122.09610599998,211921.963506,213237.90118400002,208310.13456,11880.0,-1.65
2025-12-03,208562.122626,209430.08152,211110.00196,208086.14516800002,8960.0,-0.27
2025-12-04,213069.90914,209430.08152,213349.89588,207974.15047199998,11530.0,2.16
2025-12-05,209906.05897800002,210942.00991599998,211893.964832,209010.10141,9380.0,-1.48
2025-12-08,205062.28837599998,208982.102736,211529.98207,204306.324178,15780.0,-2.31
2025-12-09,206490.22075,206938.199534,209542.076216,205706.257878,11610.0,0.7
2025-12-10,208478.126604,206350.22738,210970.00859,205370.27379,12470.0,0.96
2025-12-11,210662.023176,207946.151798,212705.926378,207946.151798,12060.0,1.05
2025-12-12,206798.206164,210074.051022,212201.950246,206182.23533599998,14380.0,-1.83
2025-12-15,217101.718196,222589.4583,222589.4583,216149.76327999998,10.0,4.98
2025-12-16,212397.940964,213909.86936,214917.821624,213909.86936,40.0,-2.17
2025-12-17,197054.667612,212341.943616,212397.940964,199994.528382,60.0,-7.22
2025-12-18,193442.838666,193442.838666,193442.838666,193442.838666,14220.0,-1.83
2025-12-19,190754.965962,194086.80816800002,195178.75645400002,190390.9832,19770.0,-1.39
2025-12-22,194506.78827800002,191006.954028,195710.73126,189859.008394,13070.0,1.97
2025-12-23,194282.798886,195990.718,197334.65435199998,193526.834688,11080.0,-0.12
2025-12-24,193274.84662199998,194926.768388,195234.753802,192098.902314,6220.0,-0.52
2025-12-26,196130.71137,193638.829384,196382.699436,192798.869164,7350.0,1.48
2025-12-29,197194.66098199997,195710.73126,198398.603964,194338.796234,9180.0,0.54
2025-12-30,196102.712696,196298.70341400002,201198.471364,195710.73126,11560.0,-0.55
2025-12-31,195290.75115,195710.73126,198146.61589800002,194898.769714,6580.0,-0.41
2026-01-02,200078.524404,195094.76043199998,200498.504514,193302.84529599998,11470.0,2.45
2026-01-05,201226.470038,198538.597334,201954.435562,196326.70208800002,16950.0,0.57
2026-01-06,209346.085498,200582.50053599998,209598.073564,199798.537664,26360.0,4.04
2026-01-07,210242.04306599998,207946.151798,214385.84681800002,207750.16108,20430.0,0.43
2026-01-08,208506.12527800002,208898.106714,214945.820298,208114.143842,15420.0,-0.83
2026-01-09,200274.51512199998,208506.12527800002,208814.110692,199378.557554,18740.0,-3.95
2026-01-12,199378.557554,200246.516448,200946.483298,197558.643744,12670.0,-0.45
2026-01-13,201730.44617,201058.47799400002,203578.358654,199714.541642,16540.0,1.18
2026-01-14,199350.55888,203186.377218,203466.363958,198090.61854999998,13980.0,-1.18
2026-01-15,200526.503188,199294.561532,201030.47931999998,196326.70208800002,12330.0,0.59
2026-01-16,198958.577444,200806.48992800002,202318.418324,198566.59600800002,10710.0,-0.78
2026-01-20,194030.81081999998,198118.61722400002,199154.56816199998,193498.836014,16720.0,-2.48
2026-01-21,194590.7843,193918.816124,194982.765736,191398.935464,18700.0,0.29
2026-01-22,194702.77899599998,194254.80021199997,196074.71402199997,192770.87049,12190.0,0.06
2026-01-23,196494.69413199998,194730.77767,198986.576118,194226.801538,12670.0,0.92
2026-01-26,199490.55225,196858.676894,201030.47931999998,196830.67822,12740.0,1.52
2026-01-27,205650.26053,200022.527056,207190.1876,199910.53236,18390.0,3.09
2026-01-28,196550.69148,207750.16108,208618.119974,195878.723304,21410.0,-4.42
2026-01-29,193470.83734,196858.676894,197418.65037400002,192966.86120800002,15060.0,-1.57
2026-01-30,186051.18873,192910.86386,193470.83734,185295.224532,25470.0,-3.84
2026-02-02,186611.16221,185771.20199,189411.02961,185351.22188,16010.000000000002,0.3
2026-02-03,177567.59050800002,187899.101214,189131.04287,176279.651504,24080.0,-4.85
2026-02-04,172835.814602,178855.52951199998,181879.386304,171967.85570800002,29010.0,-2.66
