"Date,Price,Open,High,Low,Vol.,Change %,Gia_Viet_Nam"
"01/28/2025,357.5,352.55,358.9,346.8,15.98K,2.38%,207045.56015"
"01/27/2025,349.2,348.75,355.55,345.2,19.56K,0.47%,202238.62826399997"
"01/24/2025,347.55,345.0,349.8,341.9,13.67K,1.05%,201283.033371"
"01/23/2025,343.95,342.0,348.9,338.85,20.10K,0.61%,199198.09905899997"
"01/22/2025,341.85,331.2,342.95,327.5,20.01K,4.29%,197981.887377"
"01/21/2025,327.8,330.4,336.25,327.1,16.31K,-0.17%,189844.852076"
"01/17/2025,328.35,328.9,332.45,325.9,12.50K,0.37%,190163.38370700003"
"01/16/2025,327.15,330.55,332.05,325.2,12.58K,-1.00%,189468.405603"
"01/15/2025,330.45,322.5,331.2,321.05,12.30K,2.64%,191379.595389"
"01/14/2025,321.95,325.5,328.85,321.05,16.25K,-1.23%,186456.83381899996"
"01/13/2025,325.95,322.9,333.85,322.1,19.36K,0.65%,188773.42749899998"
"01/10/2025,323.85,319.5,325.85,317.75,15.99K,1.68%,187557.215817"
"01/09/2025,318.5,321.0,322.0,316.65,14.25K,0.65%,184458.77177"
"01/08/2025,316.45,320.65,324.3,314.9,21.11K,-1.26%,183271.517509"
"01/07/2025,320.5,320.65,323.1,317.75,12.72K,0.60%,185617.06861"
"01/06/2025,318.6,318.65,328.6,317.05,15.99K,-0.02%,184516.686612"
"01/03/2025,318.65,324.75,326.25,317.65,11.89K,-2.51%,184545.644033"
"01/02/2025,326.85,321.55,329.8,319.75,14.74K,2.22%,189294.661077"
"12/31/2024,319.75,318.85,321.3,312.15,14.69K,-0.39%,185182.707295"
"12/30/2024,321.0,322.15,323.85,316.8,12.65K,-0.51%,185906.64281999998"
"12/27/2024,322.65,323.65,325.5,318.4,11.07K,-0.62%,186862.237713"
"12/26/2024,324.65,330.0,331.5,322.35,7.16K,-1.20%,188020.53455299998"
"12/24/2024,328.6,327.05,329.55,322.05,7.21K,0.41%,190308.170812"
"12/23/2024,327.25,325.0,329.75,320.85,10.32K,0.69%,189526.320445"
"12/20/2024,325.0,325.5,329.5,319.0,15.02K,0.39%,188223.2365"
"12/19/2024,323.75,332.65,341.8,321.5,26.44K,-2.82%,187499.300975"
"12/18/2024,333.15,333.15,333.15,333.15,17.91K,2.37%,192943.29612299998"
"12/17/2024,325.45,322.6,322.6,322.6,0.00K,-1.00%,188483.85328899996"
"12/16/2024,328.75,328.25,328.25,328.25,0.00K,2.46%,190395.043075"
"12/13/2024,320.85,320.85,320.85,320.85,15.43K,-0.54%,185819.770557"
"12/12/2024,322.6,322.6,322.6,322.6,17.45K,0.28%,186833.28029199998"
"12/11/2024,321.7,321.7,321.7,321.7,23.42K,-4.16%,186312.046714"
"12/10/2024,335.65,343.85,347.35,343.7,0.02K,1.01%,194391.16717299997"
"12/09/2024,332.3,332.3,332.3,332.3,27.65K,-0.06%,192451.019966"
"12/06/2024,332.5,315.95,331.7,313.7,26.34K,5.30%,192566.84965000002"
"12/05/2024,315.75,310.75,312.45,307.85,0.00K,3.20%,182866.11361499998"
"12/04/2024,305.95,306.6,306.6,305.8,0.02K,2.77%,177190.45909899997"
"12/03/2024,297.7,298.35,303.45,293.75,0.05K,-0.50%,172412.48463399996"
"12/02/2024,299.2,318.1,318.1,297.6,0.03K,-6.98%,173281.207264"
"11/29/2024,321.65,334.5,335.0,324.3,1.14K,-1.38%,186283.089293"
"11/27/2024,326.15,320.0,329.5,319.65,0.03K,4.49%,188889.257183"
"11/26/2024,312.15,310.05,313.0,310.05,0.02K,1.23%,180781.17930299998"
"11/25/2024,308.35,308.3,312.8,307.25,0.08K,1.02%,178580.41530700002"
"11/22/2024,305.25,296.55,306.25,296.55,0.04K,2.21%,176785.05520499998"
"11/21/2024,298.65,300.0,300.0,295.75,0.09K,1.13%,172962.67563299998"
